Headline,Link,Date,"Categories (comma separated)","Locations (; separated)","Lat/Lon pairs (; separated)"
"How Small Physician Practices are Struggling to Survive During Coronavirus Pandemic - The New York Times",http://healthmap.org/ln.php?7303133,"2020-05-05 18:00:36","Healthcare Facility, Healthcare Worker","United States","39.966930,-97.556099"
"Small Montana schools could be first to reopen after Covid-19 closures - CNN",http://healthmap.org/ln.php?7303788,"2020-05-05 18:14:49","School Closure",Montana,"47.010201,-109.731499"
"Coronavirus live updates: Shasta County goes a week without any new COVID-19 cases - Record Searchlight",http://healthmap.org/ln.php?7303956,"2020-05-05 22:27:19","School Closure","Shasta College, California","40.627102,-122.318062"
"Sixth resident of Princeton Care Center dies from COVID-19 complications - Planet Princeton",http://healthmap.org/ln.php?7304374,"2020-05-05 19:44:38","Elder Care","Princeton, New Jersey","40.348717,-74.659050"
"Starbucks reopening amid COVID-19 pandemic: What to know - Detroit Free Press",http://healthmap.org/ln.php?7304635,"2020-05-05 18:25:39","Business Reopening","United States","39.966930,-97.556099"
"1 in 4 Detroit workers fight on front lines against COVID-19 - The Detroit News",http://healthmap.org/ln.php?7304636,"2020-05-05 22:38:00","Healthcare Worker",Michigan,"43.580299,-84.462898"
"87 residents, 27 workers at Derry nursing home test positive for COVID-19",http://healthmap.org/ln.php?7305104,"2020-05-06 07:13:39","Elder Care","Derry, New Hampshire","42.880638,-71.327293"
"COVID-19 outbreak hits Vallejo nursing home as 87 test positive",http://healthmap.org/ln.php?7305105,"2020-05-06 07:14:31","Elder Care","Vallejo, California","38.104088,-122.256638"
"13 Investigates: Nurses warn of 'COVID-19 Crisis' in Greenwood nursing home - 13 Investigates - 13 WTHR Indianapolis",http://healthmap.org/ln.php?7305107,"2020-05-06 07:18:21","Elder Care","Greenwood, Indiana","39.613659,-86.106651"
"Plant City nursing home has 73 coronavirus cases, state says",http://healthmap.org/ln.php?7305108,"2020-05-06 07:19:43","Elder Care","Plant City, Florida","28.018629,-82.112862"
"Mandan nursing home has 9 more COVID-19 cases; separate lawsuit against state broadened | Health | bismarcktribune.com",http://healthmap.org/ln.php?7305109,"2020-05-06 07:22:30","Elder Care","Mandan, North Dakota","46.826660,-100.889580"
"Tracking nursing home COVID-19 outbreaks is big task for families, public",http://healthmap.org/ln.php?7305110,"2020-05-06 07:23:59","Elder Care","United States","39.966930,-97.556099"
"Coronavirus In Pennsylvania: 80 Percent Of The Region&#8217;s COVID-19 Deaths Are In Long-Term Care Facilities &#8211; CBS Pittsburgh",http://healthmap.org/ln.php?7305111,"2020-05-06 07:24:25","Elder Care",Pennsylvania,"40.930099,-77.475601"
"Dallas salon owner who reopened in defiance of Texas' coronavirus restrictions sentenced to 7 days in jail - USA TODAY",http://healthmap.org/ln.php?7306070,"2020-05-06 10:01:11","Lockdown / Shelter in Place, Business Reopening",Texas,"31.240900,-99.228600"
"Florida records 69 new coronavirus deaths, including 12 in Tampa Bay - Tampa Bay Times",http://healthmap.org/ln.php?7306343,"2020-05-06 12:13:00","Healthcare Facility, Elder Care, COVID-19 Case Clusters","Seminole, Florida","28.716980,-81.236298"
"Coronavirus In Minnesota: 728 New COVID-19 Cases Reported As Death Toll Nears 500 - CBS Minnesota",http://healthmap.org/ln.php?7306813,"2020-05-06 12:25:49","COVID-19 Case Clusters","Worthington, Minnesota","43.619961,-95.596397"
"Tyson will reopen its biggest pork plant after a Covid-19 outbreak - CNN",http://healthmap.org/ln.php?7306821,"2020-05-06 15:34:52","Business Reopening, COVID-19 Case Clusters","Waterloo, Iowa","42.492760,-92.342957"
"As COVID-19 Restrictions Ease, Restaurants Rethink Their Business Model - NPR",http://healthmap.org/ln.php?7307003,"2020-05-06 05:04:00","Business Reopening",Florida,"28.149500,-81.650398"
"Home Slice North Loop Closes Temporarily After Staffer Tests Positive for COVID-19 - Eater Austin",http://healthmap.org/ln.php?7307009,"2020-05-06 11:58:09","Business Closure","Austin, Texas","30.267151,-97.743057"
"COVID-19 Across Chicago: Rogers Park - WTTW News",http://healthmap.org/ln.php?7307157,"2020-05-05 20:18:37","Business Closure","Chicago, Illinois","41.849998,-87.650101"
"South Siders Can Get Tested For Coronavirus For Free Friday In Auburn Gresham - Block Club Chicago",http://healthmap.org/ln.php?7307392,"2020-05-06 04:28:00","Mass Testing","Chicago, Illinois","41.849998,-87.650101"
"Oregon coronavirus updates May 6: Case counts by zip code - KGW.com",http://healthmap.org/ln.php?7307396,"2020-05-06 10:19:00","Healthcare Facility, Elder Care, COVID-19 Case Clusters","Portland, Oregon","45.523453,-122.676208"
"Why Tuesday was the most important (and scary) day of the coronavirus fight so far - CNN",http://healthmap.org/ln.php?7307400,"2020-05-06 16:25:05","Business Reopening","United States","39.966930,-97.556099"
"Third round of mobile coronavirus testing in Orange County includes Pine Hills stop - WKMG News 6 & ClickOrlando",http://healthmap.org/ln.php?7307403,"2020-05-06 18:31:38","Mass Testing","Orange County, Florida","28.458616,-81.291458"
"Bath breakfast spot closes after COVID-19 closures halt business - Press Herald",http://healthmap.org/ln.php?7307608,"2020-05-06 17:01:00","Business Closure","Bath, Maine","43.910641,-69.820602"
"Berkeley offers free COVID-19 tests to all residents, workers with symptoms - Berkeleyside",http://healthmap.org/ln.php?7307610,"2020-05-06 18:05:13","Mass Testing","Berkeley, California","37.871593,-122.272743"
"OC Supervisors Split on Coronavirus Business Reopening But County Officials Say They Will Follow Gov. Newsom's Orders - VoiceofOC",http://healthmap.org/ln.php?7307683,"2020-05-06 17:38:23","Business Closure",California,"37.250198,-119.750298"
"Expansion of Pinellas coronavirus testing off to rough start - Tampa Bay Times",http://healthmap.org/ln.php?7307685,"2020-05-06 18:46:05","Mass Testing","Pinellas County, Florida","27.896133,-82.708153"
"Richelieu Foods in Beaver Dam to test all 420 employees for COVID-19 after 8 test positive at its plant - Fond du Lac Reporter",http://healthmap.org/ln.php?7307686,"2020-05-06 18:55:41","COVID-19 Case Clusters","Beaver Dam, Wisconsin","43.457771,-88.837334"
"Mills considering changes in reopening plan, as Maine CDC reports 1 more COVID-19 death - Press Herald",http://healthmap.org/ln.php?7307854,"2020-05-06 12:09:00","Business Reopening",Maine,"45.490898,-69.257896"
"Coronavirus In Pittsburgh: Mayor Peduto Says Residents’ Safety Comes First In Reopening Plans For City - CBS Pittsburgh",http://healthmap.org/ln.php?7307857,"2020-05-06 17:23:28","Business Reopening","Pittsburgh, Pennsylvania","40.440624,-79.995888"
"Coronavirus outbreaks reported at California food plants - Marin Independent Journal",http://healthmap.org/ln.php?7307983,"2020-05-06 15:40:34","COVID-19 Case Clusters","Tulare County, California; Tulare, California; Dinuba, California","36.266613,-118.800926; 36.265377,-118.767502; 36.543282,-119.387070"
"Richelieu Foods in Beaver Dam to test all 420 employees for COVID-19 after 8 test positive - WiscNews",http://healthmap.org/ln.php?7308111,"2020-05-06 17:18:00","COVID-19 Case Clusters","Beaver Dam, Wisconsin","43.457771,-88.837334"
"2 employees at spice manufacturing facility in Apopka die from COVID-19 - WKMG News 6 & ClickOrlando",http://healthmap.org/ln.php?7308115,"2020-05-06 18:14:42","COVID-19 Case Clusters","Apopka, Florida","28.680553,-81.509514"
"19th COVID-19 fatality reported in Cameron Co., 6 new cases in Hidalgo Co. - Monitor",http://healthmap.org/ln.php?7308116,"2020-05-06 19:29:15","Elder Care","Cameron County, Texas","26.117020,-97.516930"
"Joplin COVID-19 survivor recounts journey, gets victory parade at hospital - KY3",http://healthmap.org/ln.php?7308118,"2020-05-06 19:36:17","Healthcare Facility","Joplin, Missouri","37.084229,-94.513283"
"Coronavirus Live Updates: Germany and U.S. on Divergent Paths to Reopen - The New York Times",http://healthmap.org/ln.php?7308125,"2020-05-06 23:07:00","Business Reopening","United States","39.966930,-97.556099"
"Gainesville has become hot spot for coronavirus cases in Georgia, a state just starting to reopen - CNN",http://healthmap.org/ln.php?7308319,"2020-05-06 21:35:43","Business Reopening",Georgia,"32.731800,-83.496101"
"Coronavirus update San Antonio, May 6: Officials discuss COVID-19 issues at Bexar County Jail, what’s being done to lower infections - KSAT San Antonio",http://healthmap.org/ln.php?7308322,"2020-05-07 00:13:36","COVID-19 Case Clusters","Bexar County Jail, Texas","29.428129,-98.506691"
"U.S. Businesses Take Steps to Reopen - The New York Times",http://healthmap.org/ln.php?7308323,"2020-05-07 00:27:48","Business Reopening","United States","39.966930,-97.556099"
"Coronavirus Deaths Among Colorado Nursing Home Residents Reaches 515 - Colorado Public Radio",http://healthmap.org/ln.php?7308448,"2020-05-06 19:49:04","Elder Care",Colorado,"38.993500,-105.512703"
"SWO Boss: 'Insidious' COVID-19 Spread on USS Kidd Shows Evolution of Navy Response to Pandemic - USNI News",http://healthmap.org/ln.php?7308449,"2020-05-06 20:36:00","COVID-19 Case Clusters","San Diego, California","32.713299,-117.158302"
"Coronavirus New Jersey: Gov. Phil Murphy Extends Public Health Emergency As State’s COVID-19 Cases Near 132,000 - CBS Philly",http://healthmap.org/ln.php?7308686,"2020-05-06 15:52:22","State of Emergency Declaration","New Jersey","40.178799,-74.355499"
"Germany and U.S. on Divergent Paths to Reopen - The New York Times",http://healthmap.org/ln.php?7308690,"2020-05-07 00:12:18","Business Reopening","United States","39.966930,-97.556099"
"A pregnant hospital nurse was diagnosed with coronavirus and family says insurance won't cover her shot at recovery - CNN",http://healthmap.org/ln.php?7308694,"2020-05-07 02:15:57","Healthcare Facility","New York State","43.004601,-75.498100"
"2 Utah County businesses told staff to ignore COVID-19 guidelines, resulting in 68 positive cases - Daily Herald",http://healthmap.org/ln.php?7308849,"2020-05-05 18:30:00","COVID-19 Case Clusters","Utah County, Utah","40.124401,-111.626312"
"Here's what to know about Texas' reopening of salons, barber shops Friday, amid COVID-19 - El Paso Times",http://healthmap.org/ln.php?7309008,"2020-05-06 18:52:15","Business Reopening",Texas,"31.240900,-99.228600"
"Nurses on the front lines of the COVID-19 pandemic - KSTP",http://healthmap.org/ln.php?7309165,"2020-05-07 00:19:41","Healthcare Worker",Minnesota,"46.225399,-94.658302"
"New York doesn't count nursing home workers infected by Covid-19 - Buffalo News",http://healthmap.org/ln.php?7309472,"2020-05-07 05:30:45","Elder Care","Tonawanda, New York","43.019596,-78.877930"
"Coronavirus Live Updates: 3.2 Million More Claim Unemployment Benefits in the U.S. - The New York Times",http://healthmap.org/ln.php?7309476,"2020-05-07 08:59:19","Business Reopening","United States","39.966930,-97.556099"
"Mass Testing And A Closed Border: How The Eastern Band Has Responded To COVID-19 | WFAE",http://healthmap.org/ln.php?7309535,"2020-05-07 09:34:48","Mass Testing","Graham County, North Carolina","35.350159,-83.833557"
"As a nurse, my hospital's leaders frighten me more than Covid-19 - STAT",http://healthmap.org/ln.php?7309666,"2020-05-06 04:59:59","Healthcare Facility",Maryland,"38.959400,-76.376999"
"Tony Evers announces new online resource for residents to find COVID-19 testing sites - Madison.com",http://healthmap.org/ln.php?7309668,"2020-05-07 05:15:00","Mass Testing",Wisconsin,"44.496498,-90.000000"
"Idexx-made COVID-19 human test kits get green light from FDA - Press Herald",http://healthmap.org/ln.php?7309671,"2020-05-07 08:01:00","Mass Testing","United States","39.966930,-97.556099"
